City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Moron,AR,2023-01-14 04:09:29,-34.6534,-58.6198,75.96,53,0,5.41
198,San Rafael,AR,2023-01-14 04:06:21,-34.6177,-68.3301,74.57,30,0,11.14
199,Carutapera,BR,2023-01-14 04:09:31,-1.195,-46.02,76.06,89,79,5.99
200,Moengo,SR,2023-01-14 04:09:33,5.6167,-54.4,71.62,99,57,2.08
201,Santa Cruz Cabralia,BR,2023-01-14 04:09:34,-16.2781,-39.0247,77.23,94,20,2.3
202,Santiago Del Estero,AR,2023-01-14 04:05:01,-27.7951,-64.2615,72.03,42,0,4.18
203,Skibbereen,IE,2023-01-14 04:09:37,51.55,-9.2667,47.1,89,100,18.43
204,Newport,GB,2023-01-14 04:09:38,51.5877,-2.9984,50.83,94,100,26.71
205,Henties Bay,NA,2023-01-14 04:09:39,-22.116,14.2845,65.23,83,97,5.26
206,Celica,EC,2023-01-14 04:09:39,-4.1167,-79.95,59.74,80,100,2.1
207,Praia Da Vitoria,PT,2023-01-14 04:09:40,38.7333,-27.0667,61.75,97,100,28.19
208,Tiznit,MA,2023-01-14 04:09:41,29.5833,-9.5,56.77,45,0,2.98
209,Ustka,PL,2023-01-14 04:09:42,54.5805,16.8619,42.66,82,97,27.18
210,Roald,NO,2023-01-14 04:09:43,62.5833,6.1333,38.75,93,75,12.66
211,Walvis Bay,NA,2023-01-14 04:09:44,-22.9575,14.5053,64.09,82,85,6.78
212,Zaysan,KZ,2023-01-14 04:09:45,47.4667,84.8667,-9.94,85,9,1.72
213,Muravlenko,RU,2023-01-14 04:09:46,63.7898,74.523,0.19,98,99,8.81
214,Luba,GQ,2023-01-14 04:09:47,3.4568,8.5547,78.82,84,32,5.17
215,Independencia,BR,2023-01-14 04:09:48,-5.3964,-40.3086,75.63,61,64,5.46
216,Shubarshi,KZ,2023-01-14 04:09:49,48.5872,57.1869,6.15,97,26,4.94
217,Lubango,AO,2023-01-14 04:09:49,-14.9172,13.4925,57.33,89,100,1.97
218,Maamba,ZM,2023-01-14 04:09:50,-17.3667,27.15,66.63,91,98,0.22
219,Kilindoni,TZ,2023-01-14 04:09:51,-7.9139,39.6668,80.64,76,96,7.0
220,Ilulissat,GL,2023-01-14 04:09:52,69.2167,-51.1,8.62,56,100,28.77
221,Road Town,VG,2023-01-14 04:09:52,18.4167,-64.6167,77.09,72,0,18.43
222,Havre-Saint-Pierre,CA,2023-01-14 04:09:53,50.2334,-63.5986,19.76,79,100,23.02
223,Carnarvon,AU,2023-01-14 04:09:54,-24.8667,113.6333,87.13,45,0,15.52
224,Bandarbeyla,SO,2023-01-14 04:09:55,9.4942,50.8122,76.32,73,72,16.53
225,Hukuntsi,BW,2023-01-14 04:09:56,-24.0,21.75,68.85,33,0,9.89
226,Madison,US,2023-01-14 04:09:57,34.7334,-86.5667,35.33,79,100,17.27
227,Inhambane,MZ,2023-01-14 04:10:58,-23.865,35.3833,77.79,84,12,5.64
228,Kisangani,CD,2023-01-14 04:10:58,0.5167,25.2,72.18,69,96,1.48
229,Camacari,BR,2023-01-14 04:10:59,-12.6975,-38.3242,80.37,90,5,2.77
230,Necochea,AR,2023-01-14 04:10:59,-38.5473,-58.7368,56.39,81,1,4.32
231,Bom Jesus,BR,2023-01-14 04:11:00,-9.0744,-44.3586,73.24,72,67,0.36
232,Bonfim,BR,2023-01-14 04:11:00,3.0833,-59.95,77.04,77,100,7.56
233,Bentiu,SS,2023-01-14 04:11:01,9.2333,29.8333,68.5,30,36,4.83
234,Togur,RU,2023-01-14 04:11:01,58.3631,82.8265,8.22,94,100,13.35
235,Kabare,CD,2023-01-14 04:11:01,-2.4683,28.8242,57.65,94,78,0.25
236,Dasoguz,TM,2023-01-14 04:11:02,41.8363,59.9666,14.67,38,0,10.85
237,Sembe,CG,2023-01-14 04:11:03,1.6481,14.5806,67.41,62,14,0.96
238,Aquiraz,BR,2023-01-14 04:11:03,-3.9014,-38.3911,81.18,83,93,11.92
239,Dwarka,IN,2023-01-14 04:11:04,22.2394,68.9678,66.61,39,6,12.06
240,San Cristobal,VE,2023-01-14 04:11:05,7.7669,-72.225,69.98,90,4,1.95
241,Raga,SS,2023-01-14 04:11:06,8.4596,25.678,64.15,29,2,4.05
242,Camacha,PT,2023-01-14 04:11:07,33.0833,-16.3333,58.42,67,75,9.22
243,Bolshaya Sosnova,RU,2023-01-14 04:11:08,57.6713,54.6029,12.63,90,100,16.13
244,Umm Lajj,SA,2023-01-14 04:11:09,25.0213,37.2685,63.86,60,27,7.74
245,Barcelona,ES,2023-01-14 04:10:12,41.3888,2.159,51.55,75,0,10.36
246,Lienz,AT,2023-01-14 04:11:10,46.8289,12.769,28.29,93,23,5.35
247,Kulu,TR,2023-01-14 04:11:11,39.0951,33.0799,34.02,53,58,4.43
248,Benjamin Constant,BR,2023-01-14 04:11:11,-4.3831,-70.0311,73.53,97,88,1.92
249,Sao Filipe,CV,2023-01-14 04:11:12,14.8961,-24.4956,72.84,65,2,3.87
250,Oranjemund,NA,2023-01-14 04:11:14,-28.55,16.4333,60.66,95,5,9.55
251,Srivardhan,IN,2023-01-14 04:08:14,18.0333,73.0167,70.56,66,6,4.05
252,Bull Savanna,JM,2023-01-14 04:11:16,17.8868,-77.5902,70.34,84,51,6.42
253,Takoradi,GH,2023-01-14 04:07:38,4.8845,-1.7554,78.03,83,25,2.84
254,Yarmouth,US,2023-01-14 04:11:18,41.7057,-70.2286,48.34,97,100,14.97
255,Mounana,GA,2023-01-14 04:11:19,-1.4085,13.1586,69.15,87,11,1.88
256,Dothan,US,2023-01-14 04:11:18,31.2232,-85.3905,41.2,64,100,13.8
257,Deep River,CA,2023-01-14 04:11:22,46.1001,-77.4995,6.1,86,25,7.74
258,Husavik,IS,2023-01-14 04:11:26,66.0449,-17.3389,18.73,93,100,6.87
259,Fenoarivo Atsinanana,MG,2023-01-14 04:11:26,-17.3667,49.4167,75.58,91,64,5.03
260,Jasper,US,2023-01-14 04:11:30,37.2001,-94.3502,26.04,80,0,0.0
261,Rabo De Peixe,PT,2023-01-14 04:11:30,37.8,-25.5833,62.11,94,40,18.41
262,Skjervoy,NO,2023-01-14 04:11:31,70.0311,20.9714,26.6,66,14,12.19
263,Guider,CM,2023-01-14 04:07:13,9.9342,13.9486,67.26,25,1,6.17
264,Harer,ET,2023-01-14 04:11:33,9.3094,42.1258,53.22,56,67,1.39
265,Ponta Delgada,PT,2023-01-14 04:11:34,37.7333,-25.6667,63.32,94,40,18.41
266,Acarau,BR,2023-01-14 04:11:35,-2.8856,-40.12,78.15,85,64,12.66
267,Pinsk,BY,2023-01-14 04:11:35,52.1229,26.0951,38.12,95,100,10.02
268,Ostrovnoy,RU,2023-01-14 04:11:36,68.0531,39.5131,33.42,91,99,16.33
269,Borinskoye,RU,2023-01-14 04:11:37,52.4569,39.3713,22.75,93,100,9.78
270,Siilinjarvi,FI,2023-01-14 04:11:39,63.0833,27.6667,35.62,93,75,16.11
