City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
243,Tifton,US,2023-01-18 05:10:28,31.4505,-83.5085,62.56,97,62,7.9,broken clouds
244,Kargopol,RU,2023-01-18 05:10:28,61.5071,38.9456,29.46,93,100,10.36,overcast clouds
245,Trogir,HR,2023-01-18 05:10:28,43.5125,16.2517,54.79,76,40,21.85,light rain
246,Jawhar,SO,2023-01-18 05:10:29,2.7809,45.5005,75.11,73,77,15.12,broken clouds
247,Karoi,ZW,2023-01-18 05:10:29,-16.8099,29.6925,64.06,95,99,6.8,overcast clouds
248,Oranjestad,AW,2023-01-18 05:09:01,12.524,-70.027,77.92,87,3,5.99,clear sky
249,Pokhara,NP,2023-01-18 05:08:58,28.2333,83.9833,60.51,37,0,6.11,clear sky
250,Bengkulu,ID,2023-01-18 05:10:30,-3.8004,102.2655,83.84,65,79,6.62,broken clouds
251,Pitimbu,BR,2023-01-18 05:10:30,-7.4706,-34.8086,75.79,82,82,9.62,broken clouds
252,Cap Malheureux,MU,2023-01-18 05:10:31,-19.9842,57.6142,81.46,74,100,11.01,overcast clouds
253,Sambava,MG,2023-01-18 05:09:04,-14.2667,50.1667,78.3,77,96,12.19,overcast clouds
254,Surt,LY,2023-01-18 05:10:31,31.2089,16.5887,57.09,40,0,16.75,clear sky
255,Esmeralda,CU,2023-01-18 05:10:32,21.8525,-78.1169,64.83,80,0,4.0,clear sky
256,Chicama,PE,2023-01-18 05:10:32,-7.8447,-79.1469,66.74,72,24,2.46,few clouds
257,San Andres,CO,2023-01-18 05:07:57,12.5847,-81.7006,78.96,77,40,10.54,light rain
258,Graz,AT,2023-01-18 05:07:19,47.0667,15.45,34.92,84,20,4.61,fog
259,Kutum,SD,2023-01-18 05:10:34,14.2,24.6667,53.92,35,100,3.6,overcast clouds
260,Chernyakhovsk,RU,2023-01-18 05:10:34,54.6335,21.8156,33.15,87,91,5.41,overcast clouds
