City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
139,Mar Del Plata,AR,71.94,mist,-38.0023,-57.5575,Nuevo Ostende
142,Mindelo,CV,71.15,broken clouds,16.8901,-24.9804,Solar Windelo
144,Moroni,KM,79.61,light rain,-11.7022,43.2551,Ville de Moroni
149,Plettenberg Bay,ZA,70.72,overcast clouds,-34.0527,23.3716,Milkwood Manor
158,General Roca,AR,71.94,light rain,-39.0333,-67.5833,Hotel Austral
159,Eravur,LK,79.21,overcast clouds,7.7733,81.6095,Hotel
171,Mahebourg,MU,81.25,light rain,-20.4081,57.7,Grand Bel Air
177,Bredasdorp,ZA,70.66,overcast clouds,-34.5322,20.0403,Victoria Hotel
181,Puerto Carreno,CO,79.32,overcast clouds,6.189,-67.4859,Carreño Plaza
184,Inongo,CD,70.45,overcast clouds,-1.95,18.2667,Chez LELE IYOLO
189,Candolim,IN,78.8,mist,15.5181,73.7626,bluesea Beach Resort
192,Matara,LK,80.94,broken clouds,5.9485,80.5353,Villa Palm Breeze
194,Tamandare,BR,76.73,overcast clouds,-8.7597,-35.1047,Pousada Baia dos Corais
196,Sao Filipe,CV,76.19,broken clouds,14.8961,-24.4956,Bela Vista
199,Touros,BR,78.17,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
204,Sur,OM,70.3,clear sky,22.5667,59.5289,Sur Hotel
210,Sinnamary,GF,75.49,overcast clouds,5.3833,-52.95,Hôtel du fleuve
214,Paita,PE,70.3,overcast clouds,-5.0892,-81.1144,Victor's
222,Muisne,EC,75.56,overcast clouds,0.6,-80.0333,Hostal Té de Menta
225,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Prainha
232,Gopalpur,IN,75.56,clear sky,19.2667,84.9167,Swosti
246,Jawhar,SO,75.11,broken clouds,2.7809,45.5005,Hotel Subiye
248,Oranjestad,AW,77.92,clear sky,12.524,-70.027,Hotel California
250,Bengkulu,ID,83.84,broken clouds,-3.8004,102.2655,Dena Hotel
251,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Pousada Brisa Mar
252,Cap Malheureux,MU,81.46,overcast clouds,-19.9842,57.6142,Cape Garden
253,Sambava,MG,78.3,overcast clouds,-14.2667,50.1667,Royal Sava Hôtel
257,San Andres,CO,78.96,light rain,12.5847,-81.7006,Hotel Decameron Isleño
265,Charlestown,AU,85.78,clear sky,-32.95,151.6667,Warners Bay Hotel
